                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4158,                 1.2006,                 1.5535,                0.69443,                0.69452,                0.63968,                0.42931,                 1.4805,                  1.778,                 1.8594,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3485,                 1.1574,                 1.4846,                0.69076,                0.79167,                0.69864,                0.40756,                 1.4911,                 1.5003,                 1.8439,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3518,                 1.1556,                 1.4842,                0.78265,                0.87481,                 0.8261,                0.51003,                 1.4473,                 2.2014,                 1.8061,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2488,                 1.0772,                 1.4496,                0.78266,                0.90642,                0.81193,                0.50352,                 1.4344,                 2.1555,                  1.963,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2724,                 1.0587,                 1.4588,                0.80767,                0.91667,                0.83697,                0.55908,                 1.3971,                 1.6364,                 1.9298,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2778,                 1.1429,                 1.4311,                0.80419,                0.90618,                0.82364,                0.53123,                 1.4544,                 1.5214,                 1.8355,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2198,                 1.0793,                 1.4063,                 0.6583,                0.82543,                0.71813,                 0.4114,                 1.5068,                 1.7786,                  1.786,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3222,                 1.0186,                 1.4503,                0.71686,                0.79167,                0.72513,                0.42733,                 1.4782,                 1.6001,                 1.8867,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2569,                0.97206,                 1.4213,                0.72846,                0.81861,                0.74627,                0.43099,                 1.4587,                 1.4627,                 2.0118,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1389,                0.95247,                  1.341,                0.73422,                0.80739,                0.80176,                0.45832,                 1.4976,                 1.3618,                 2.0296,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1549,                0.90063,                 1.3727,                0.79536,                0.91667,                0.82749,                0.50407,                 1.3251,                 1.2981,                 1.8439,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1749,                0.91228,                 1.3858,                 0.7903,                0.91667,                0.85208,                0.56195,                 1.2488,                 1.2857,                 1.7626,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1736,                0.94185,                 1.3579,                0.80755,                0.91667,                0.86607,                0.58316,                 1.2296,                 1.2175,                 1.7627,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1143,                0.85639,                 1.3272,                0.81884,                0.91667,                0.89144,                0.58735,                 1.2357,                 1.2332,                 1.7648,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1695,                0.92671,                 1.3304,                0.79832,                0.91667,                0.85144,                0.50206,                 1.4006,                 1.1107,                 1.9346,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1217,                0.92724,                 1.3456,                0.74244,                0.91137,                0.82413,                0.48608,                 1.4104,                 1.2416,                 1.9341,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1881,                0.91991,                 1.3358,                0.55037,                0.83333,                0.59494,                 0.3677,                 1.4107,                 1.8782,                 1.9394,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0619,                0.85094,                 1.2906,                0.79253,                0.91048,                0.77176,                0.47356,                  1.362,                 1.1349,                 1.8354,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1054,                0.82247,                 1.3028,                0.78673,                0.91667,                0.82283,                0.55856,                 1.2289,                 1.0404,                 1.6068,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1006,                0.85702,                 1.3118,                0.80134,                0.91667,                0.80633,                0.55861,                 1.2167,                 1.0117,                 1.5635,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1219,                0.90091,                 1.3289,                0.80666,                0.91667,                0.83059,                0.56611,                 1.2877,                0.89574,                 1.5758,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1272,                0.84751,                 1.2949,                0.80608,                0.91667,                0.85545,                0.61306,                 1.2644,                 0.8769,                 1.5709,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0844,                0.82728,                 1.2877,                0.80401,                0.91667,                0.78681,                0.50054,                 1.3796,                 1.0639,                 1.7864,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1062,                0.81243,                 1.3202,                0.80685,                0.91667,                0.82417,                0.54955,                 1.3748,                0.95765,                 1.7913,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0828,                0.83605,                 1.3038,                0.79325,                0.91193,                 0.8218,                0.60501,                 1.3197,                0.99239,                 1.7187,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0898,                0.84357,                 1.2813,                 0.7986,                0.90958,                0.81288,                0.57965,                 1.3502,                 1.0248,                 1.7241,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.0465,                0.78011,                 1.2883,                0.79798,                0.91667,                 0.8366,                0.56407,                 1.3316,                 1.0027,                 1.7807,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.0349,                0.73851,                 1.2708,                0.79442,                0.91667,                0.85465,                0.57826,                 1.3164,                  1.036,                  1.759,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0223,                0.80877,                 1.2934,                0.79818,                0.91667,                0.87167,                0.61499,                 1.2895,                0.96756,                 1.6952,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0317,                0.79954,                 1.2343,                0.79517,                0.91667,                0.87283,                0.62429,                 1.2944,                0.94665,                 1.6681,              0.0006438,              0.0006438,              0.0006438
                     64,                0.95638,                0.69852,                 1.1785,                0.80377,                0.91667,                0.84965,                0.56787,                 1.3513,                0.94545,                 1.8372,             0.00062729,             0.00062729,             0.00062729
                     65,                0.95273,                0.71985,                 1.2055,                0.80621,                0.91667,                0.80131,                0.51433,                 1.3937,                0.93028,                 1.8985,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0395,                0.75598,                 1.2849,                0.80678,                0.91667,                0.78888,                0.50995,                 1.3952,                0.92096,                 1.8931,             0.00059429,             0.00059429,             0.00059429
                     67,                0.98763,                0.81296,                 1.2404,                0.80651,                0.91667,                0.81827,                0.52829,                 1.4074,                0.88306,                 1.8562,             0.00057778,             0.00057778,             0.00057778
